pair_id,region,midline_strategy,movement_region,movement,error,i410_1,i410_2
1,pm3,RS,PosteriorBulb,1,47.7371884438985,7219.01660291993,7233.34876538945
1,pm3,RD,PosteriorBulb,1,53.3000211679177,7219.01660291993,7233.34876538945
1,pm3,US,AnteriorBulb,1,68.1602033072359,7219.01660291993,7233.34876538945
1,pm3,UD,AnteriorBulb,1,76.0492817190095,7219.01660291993,7233.34876538945
1,pm3,RS,AnteriorBulb,1,47.7371884438985,7219.01660291993,7233.34876538945
1,pm3,RD,AnteriorBulb,1,53.3000211679177,7219.01660291993,7233.34876538945
1,pm3,US,SidesOfTip,1,68.1602033072359,7219.01660291993,7233.34876538945
1,pm3,UD,SidesOfTip,1,76.0492817190095,7219.01660291993,7233.34876538945
1,pm3,RS,SidesOfTip,1,47.7371884438985,7219.01660291993,7233.34876538945
1,pm3,RD,SidesOfTip,1,53.3000211679177,7219.01660291993,7233.34876538945
1,pm3,US,Tip,1,68.1602033072359,7219.01660291993,7233.34876538945
1,pm3,UD,Tip,1,76.0492817190095,7219.01660291993,7233.34876538945
1,pm3,RS,Tip,1,47.7371884438985,7219.01660291993,7233.34876538945
1,pm3,RD,Tip,1,53.3000211679177,7219.01660291993,7233.34876538945
1,pm4,US,PosteriorBulb,1,62.8277897956678,8772.68259837407,8748.74979859357
1,pm4,UD,PosteriorBulb,1,46.6725008620251,8772.68259837407,8748.74979859357
1,pm4,RS,PosteriorBulb,1,35.4463314174068,8772.68259837407,8748.74979859357
1,pm4,RD,PosteriorBulb,1,34.0770438516118,8772.68259837407,8748.74979859357
1,pm4,US,AnteriorBulb,1,62.8277897956678,8772.68259837407,8748.74979859357
1,pm4,UD,AnteriorBulb,1,46.6725008620251,8772.68259837407,8748.74979859357
1,pm4,RS,AnteriorBulb,1,35.4463314174068,8772.68259837407,8748.74979859357
1,pm4,RD,AnteriorBulb,1,34.0770438516118,8772.68259837407,8748.74979859357
1,pm4,US,SidesOfTip,1,62.8277897956678,8772.68259837407,8748.74979859357
1,pm4,UD,SidesOfTip,1,46.6725008620251,8772.68259837407,8748.74979859357
1,pm4,RS,SidesOfTip,1,35.4463314174068,8772.68259837407,8748.74979859357
1,pm4,RD,SidesOfTip,1,34.0770438516118,8772.68259837407,8748.74979859357
1,pm4,US,Tip,1,62.8277897956678,8772.68259837407,8748.74979859357
1,pm4,UD,Tip,1,46.6725008620251,8772.68259837407,8748.74979859357
1,pm4,RS,Tip,1,35.4463314174068,8772.68259837407,8748.74979859357
1,pm4,RD,Tip,1,34.0770438516118,8772.68259837407,8748.74979859357
1,pm5,US,PosteriorBulb,1,57.5551709165375,4128.74574354889,4204.6093979204
1,pm5,UD,PosteriorBulb,1,93.1779302517617,4128.74574354889,4204.6093979204
1,pm5,RS,PosteriorBulb,1,46.5341069600063,4128.74574354889,4204.6093979204
1,pm5,RD,PosteriorBulb,1,84.423065593948,4128.74574354889,4204.6093979204
1,pm5,US,AnteriorBulb,1,57.5551709165375,4128.74574354889,4204.6093979204
