pair_id,region,midline_strategy,error,i410_1,i410_2
2,postPM3,RS,34.8178952186126,3765.89919765515,3731.08130243653
2,postPM3,RD,41.5392890245523,3765.89919765515,3724.35990863059
2,postPM3,WD,81.0433623903558,3910.33732084901,3829.29395845866
2,postPM3,FN,-2.30384005364234,3765.89919765515,3768.20303770879
2,medialAxis,US,61.4464397106167,6544.57528671791,6483.12884700729
2,medialAxis,UD,62.2967526336228,6544.57528671791,6482.27853408429
2,medialAxis,RS,51.7978322102795,6544.9924110194,6493.19457880912
2,medialAxis,RD,52.0844510284989,6544.9924110194,6492.90795999091
2,medialAxis,WD,71.7391669986191,6526.11462108436,6454.37545408573
2,medialAxis,FN,0.41712430149613,6544.9924110194,6544.57528671791
2,pharynx,US,61.2166038643362,6356.26110087888,6295.04449701455
2,pharynx,UD,62.7872589251462,6356.26110087888,6293.47384195374
2,pharynx,RS,52.5614706304081,6356.2611008789,6303.69963024849
2,pharynx,RD,53.341757447788,6356.2611008789,6302.91934343111
2,pharynx,WD,73.3706710317159,6341.50512815866,6268.13445712694
2,pharynx,FN,1.25191945699044e-11,6356.2611008789,6356.26110087888
3,prePM7,US,-68.1677890785472,5083.86764814052,5152.03543721906
3,prePM7,UD,-218.810173895865,5083.86764814052,5302.67782203638
3,prePM7,RS,-75.3780273077321,5171.96851707437,5247.3465443821
3,prePM7,RD,-109.598230303456,5171.96851707437,5281.56674737783
3,prePM7,WD,-217.387967600845,4177.54409912217,4394.93206672302
3,prePM7,FN,88.1008689338532,5171.96851707437,5083.86764814052
3,pm7,US,-85.9141632028399,10365.3706139774,10451.2847771803
3,pm7,UD,-11.7522383414346,10365.3706139774,10377.1228523188
3,pm7,RS,-80.6248249645133,10269.4938513953,10350.1186763599
3,pm7,RD,-55.7089229268282,10269.4938513953,10325.2027743222
3,pm7,WD,164.76175908636,9862.52205252083,9697.76029343447
3,pm7,FN,-95.8767625820705,10269.4938513953,10365.3706139774
3,pm6,US,-57.8716786093506,6757.4618098225,6815.33348843185
3,pm6,UD,-18.3779232425914,6757.4618098225,6775.83973306509
3,pm6,RS,-45.5478291459471,6756.99070373294,6802.53853287889
3,pm6,RD,-21.4323996539946,6756.99070373294,6778.42310338693
3,pm6,WD,-204.098638389228,8109.18552449722,8313.28416288644
3,pm6,FN,-0.471106089562113,6756.99070373294,6757.4618098225
3,pm5,US,-14.252196784559,4077.68007659995,4091.93227338451
3,pm5,UD,-28.3358630176677,4077.68007659995,4106.01593961762
3,pm5,RS,-25.5778984945709,4080.40566697676,4105.98356547134
3,pm5,RD,-38.7893814753288,4080.40566697676,4119.19504845209
3,pm5,WD,-36.9101957809878,4123.84680143463,4160.75699721562
3,pm5,FN,2.72559037681021,4080.40566697676,4077.68007659995
3,pm4,US,-124.891975564991,8532.05784773695,8656.94982330194
3,pm4,UD,-119.817967047483,8532.05784773695,8651.87581478444
3,pm4,RS,-139.2990564106,8520.65105601392,8659.95011242452
3,pm4,RD,-131.175408527544,8520.65105601392,8651.82646454146
3,pm4,WD,-55.6776555862361,7955.27681090609,8010.95446649232
3,pm4,FN,-11.4067917230329,8520.65105601392,8532.05784773695
3,pm3,US,-42.302825393958,7177.9058397739,7220.20866516786
3,pm3,UD,-42.4206784853341,7177.9058397739,7220.32651825923
3,pm3,RS,-52.6767374940831,7180.90066530462,7233.5774027987
3,pm3,RD,-46.4263555808173,7180.90066530462,7227.32702088544
3,pm3,WD,-42.1678626277839,7365.30024851818,7407.46811114597
3,pm3,FN,2.99482553072237,7180.90066530462,7177.9058397739
3,postPM3,US,-41.2124176540309,3679.98328159257,3721.1956992466
3,postPM3,UD,-59.3723515138802,3679.98328159257,3739.35563310645
3,postPM3,RS,-75.104687071002,3673.49785068823,3748.60253775923
3,postPM3,RD,-81.8808087701058,3673.49785068823,3755.37865945833
3,postPM3,WD,-84.2627564177044,3794.0991994112,3878.3619558289
3,postPM3,FN,-6.48543090433865,3673.49785068823,3679.98328159257
3,medialAxis,US,-47.423910589424,6431.09686103862,6478.52077162805
3,medialAxis,UD,-51.3914083423944,6431.09686103862,6482.48826938102
3,medialAxis,RS,-59.5502379164586,6431.15030390152,6490.70054181798
3,medialAxis,RD,-56.8266519496763,6431.15030390152,6487.97695585119
3,medialAxis,WD,-59.8218482421039,6427.4972806447,6487.3191288868
3,medialAxis,FN,0.0534428628936966,6431.15030390152,6431.09686103862
3,pharynx,US,-47.2615901503504,6243.65224739938,6290.91383754973
3,pharynx,UD,-53.7795463487588,6243.65224739938,6297.43179374814
3,pharynx,RS,-59.0376736553797,6243.65224739939,6302.68992105478
3,pharynx,RD,-58.4830866799997,6243.65224739939,6302.13533407939
3,pharynx,WD,-56.7228264057814,6242.16981639536,6298.89264280114
3,pharynx,FN,1.20780896395445e-11,6243.65224739939,6243.65224739938
4,prePM7,US,-141.842463388688,5232.6329710103,5374.47543439899
4,prePM7,UD,-12.3733197243336,5232.6329710103,5245.00629073463
4,prePM7,RS,-72.5088404221699,5304.93571466771,5377.44455508988
4,prePM7,RD,-62.7775625820599,5304.93571466771,5367.71327724978
4,prePM7,WD,-21.5785124684811,4310.92125741462,4332.4997698831
4,prePM7,FN,72.302743657414,5304.93571466771,5232.6329710103
4,pm7,US,5.69172562288103,10395.9278624901,10390.2361368672
